Robot{serijskiBroj=Serijski broj 29, tip=Cistacki, snaga=2, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id89, proizvodjac=Proizvodjac89, godinaProizvodnje=2021, snaga=3}, baterija=Motor{id=Id90, proizvodjac=Proizvodjac90, godinaProizvodnje=2022, kapacitet=33}} OSTECEN
Robot{serijskiBroj=Serijski broj 23, tip=Cistacki, snaga=1, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id71, proizvodjac=Proizvodjac71, godinaProizvodnje=2022, snaga=5}, baterija=Motor{id=Id72, proizvodjac=Proizvodjac72, godinaProizvodnje=2023, kapacitet=7}} OSTECEN
Robot{serijskiBroj=Serijski broj 17, tip=Cistacki, snaga=6, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id53, proizvodjac=Proizvodjac53, godinaProizvodnje=2024, snaga=1}, baterija=Motor{id=Id54, proizvodjac=Proizvodjac54, godinaProizvodnje=2022, kapacitet=54}} OSTECEN
Robot{serijskiBroj=Serijski broj 8, tip=Montazni, snaga=4, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id26, proizvodjac=Proizvodjac26, godinaProizvodnje=2020, snaga=3}, baterija=Motor{id=Id27, proizvodjac=Proizvodjac27, godinaProizvodnje=2022, kapacitet=18}} OSTECEN
Robot{serijskiBroj=Serijski broj 24, tip=Cistacki, snaga=8, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id74, proizvodjac=Proizvodjac74, godinaProizvodnje=2023, snaga=1}, baterija=Motor{id=Id75, proizvodjac=Proizvodjac75, godinaProizvodnje=2021, kapacitet=65}} OSTECEN
Robot{serijskiBroj=Serijski broj 33, tip=Istrazivacki, snaga=6, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id101, proizvodjac=Proizvodjac101, godinaProizvodnje=2024, snaga=4}, baterija=Motor{id=Id102, proizvodjac=Proizvodjac102, godinaProizvodnje=2020, kapacitet=60}} OSTECEN
Robot{serijskiBroj=Serijski broj 9, tip=Montazni, snaga=7, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id29, proizvodjac=Proizvodjac29, godinaProizvodnje=2020, snaga=1}, baterija=Motor{id=Id30, proizvodjac=Proizvodjac30, godinaProizvodnje=2020, kapacitet=8}} OSTECEN
Robot{serijskiBroj=Serijski broj 4, tip=Montazni, snaga=5, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id14, proizvodjac=Proizvodjac14, godinaProizvodnje=2022, snaga=7}, baterija=Motor{id=Id15, proizvodjac=Proizvodjac15, godinaProizvodnje=2020, kapacitet=57}} OSTECEN
Robot{serijskiBroj=Serijski broj 28, tip=Cistacki, snaga=3, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id86, proizvodjac=Proizvodjac86, godinaProizvodnje=2023, snaga=2}, baterija=Motor{id=Id87, proizvodjac=Proizvodjac87, godinaProizvodnje=2020, kapacitet=5}} OSTECEN
Robot{serijskiBroj=Serijski broj 34, tip=Istrazivacki, snaga=5, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id104, proizvodjac=Proizvodjac104, godinaProizvodnje=2021, snaga=5}, baterija=Motor{id=Id105, proizvodjac=Proizvodjac105, godinaProizvodnje=2021, kapacitet=50}} OSTECEN
Robot{serijskiBroj=Serijski broj 14, tip=Montazni, snaga=6, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id44, proizvodjac=Proizvodjac44, godinaProizvodnje=2024, snaga=2}, baterija=Motor{id=Id45, proizvodjac=Proizvodjac45, godinaProizvodnje=2023, kapacitet=35}} OSTECEN
